
CMD: yum check-update 

Loaded plugins: langpacks

grub2-tools-extra.x86_64        1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
grub2-tools-minimal.x86_64      1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
gzip.x86_64                     1.5-11.el7_9                   updates-openlogic
hunspell.x86_64                 1.3.2-16.el7                   base-openlogic   
hwdata.x86_64                   0.252-9.7.el7                  base-openlogic   
initscripts.x86_64              9.49.53-1.el7_9.1              updates-openlogic
iproute.x86_64                  4.11.0-30.el7                  base-openlogic   
iptables.x86_64                 1.4.21-35.el7                  base-openlogic   
iwl100-firmware.noarch          39.31.5.1-82.el7_9             updates-openlogic
iwl1000-firmware.noarch         1:39.31.5.1-82.el7_9           updates-openlogic
iwl105-firmware.noarch          18.168.6.1-82.el7_9            updates-openlogic
iwl135-firmware.noarch          18.168.6.1-82.el7_9            updates-openlogic
iwl2000-firmware.noarch         18.168.6.1-82.el7_9            updates-openlogic
iwl2030-firmware.noarch         18.168.6.1-82.el7_9            updates-openlogic
iwl3160-firmware.noarch         25.30.13.0-82.el7_9            updates-openlogic
iwl3945-firmware.noarch         15.32.2.9-82.el7_9             updates-openlogic
iwl4965-firmware.noarch         228.61.2.24-82.el7_9           updates-openlogic
iwl5000-firmware.noarch         8.83.5.1_1-82.el7_9            updates-openlogic
iwl5150-firmware.noarch         8.24.2.2-82.el7_9              updates-openlogic
iwl6000-firmware.noarch         9.221.4.1-82.el7_9             updates-openlogic
iwl6000g2a-firmware.noarch      18.168.6.1-82.el7_9            updates-openlogic
iwl6000g2b-firmware.noarch      18.168.6.1-82.el7_9            updates-openlogic
iwl6050-firmware.noarch         41.28.5.1-82.el7_9             updates-openlogic
iwl7260-firmware.noarch         25.30.13.0-82.el7_9            updates-openlogic
kbd.x86_64                      1.15.5-16.el7_9                updates-openlogic
kbd-legacy.noarch               1.15.5-16.el7_9                updates-openlogic
kbd-misc.noarch                 1.15.5-16.el7_9                updates-openlogic
kernel.x86_64                   3.10.0-1160.118.1.el7          updates-openlogic
kernel-tools.x86_64             3.10.0-1160.118.1.el7          updates-openlogic
kernel-tools-libs.x86_64        3.10.0-1160.118.1.el7          updates-openlogic
kexec-tools.x86_64              2.0.15-51.el7_9.3              updates-openlogic
kmod.x86_64                     20-28.el7                      base-openlogic   
kmod-kvdo.x86_64                6.1.3.23-5.el7                 base-openlogic   
kmod-libs.x86_64                20-28.el7                      base-openlogic   
kpartx.x86_64                   0.4.9-136.el7_9                updates-openlogic
kpatch.noarch                   0.6.1-6.el7                    base-openlogic   
krb5-libs.x86_64                1.15.1-55.el7_9                updates-openlogic
ledmon.x86_64                   0.92-1.el7                     base-openlogic   
libacl.x86_64                   2.2.51-15.el7                  base-openlogic   
libblkid.x86_64                 2.23.2-65.el7_9.1              updates-openlogic
libcap.x86_64                   2.22-11.el7                    base-openlogic   
libcom_err.x86_64               1.42.9-19.el7                  base-openlogic   
libcroco.x86_64                 0.6.12-6.el7_9                 updates-openlogic
libcurl.x86_64                  7.29.0-59.el7_9.2              updates-openlogic
libffi.x86_64                   3.0.13-19.el7                  base-openlogic   
libgcc.x86_64                   4.8.5-44.el7                   base-openlogic   
libgomp.x86_64                  4.8.5-44.el7                   base-openlogic   
libldb.x86_64                   1.5.4-2.el7                    updates-openlogic
libmount.x86_64                 2.23.2-65.el7_9.1              updates-openlogic
libpcap.x86_64                  14:1.5.3-13.el7_9              updates-openlogic
libpng.x86_64                   2:1.5.13-8.el7                 base-openlogic   
libreport.x86_64                2.1.11-53.el7.centos           base-openlogic   
libreport-centos.x86_64         2.1.11-53.el7.centos           base-openlogic   
libreport-cli.x86_64            2.1.11-53.el7.centos           base-openlogic   
libreport-filesystem.x86_64     2.1.11-53.el7.centos           base-openlogic   
libreport-plugin-mailx.x86_64   2.1.11-53.el7.centos           base-openlogic   
libreport-plugin-mantisbt.x86_64
                                2.1.11-53.el7.centos           base-openlogic   
libreport-plugin-rhtsupport.x86_64
                                2.1.11-53.el7.centos           base-openlogic   
libreport-plugin-ureport.x86_64 2.1.11-53.el7.centos           base-openlogic   
libreport-python.x86_64         2.1.11-53.el7.centos           base-openlogic   
libreport-web.x86_64            2.1.11-53.el7.centos           base-openlogic   
libseccomp.x86_64               2.3.1-4.el7                    base-openlogic   
libselinux.x86_64               2.5-15.el7                     base-openlogic   
libselinux-python.x86_64        2.5-15.el7                     base-openlogic   
libselinux-utils.x86_64         2.5-15.el7                     base-openlogic   
libsmartcols.x86_64             2.23.2-65.el7_9.1              updates-openlogic
libss.x86_64                    1.42.9-19.el7                  base-openlogic   
libssh2.x86_64                  1.8.0-4.el7_9.1                updates-openlogic
libsss_idmap.x86_64             1.16.5-10.el7_9.16             updates-openlogic
libsss_nss_idmap.x86_64         1.16.5-10.el7_9.16             updates-openlogic
libstdc++.x86_64                4.8.5-44.el7                   base-openlogic   
libstoragemgmt.x86_64           1.8.1-2.el7_9                  updates-openlogic
libstoragemgmt-python.noarch    1.8.1-2.el7_9                  updates-openlogic
libstoragemgmt-python-clibs.x86_64
                                1.8.1-2.el7_9                  updates-openlogic
libtalloc.x86_64                2.1.16-1.el7                   base-openlogic   
libtdb.x86_64                   1.3.18-1.el7                   base-openlogic   
libteam.x86_64                  1.29-3.el7                     base-openlogic   
libtevent.x86_64                0.9.39-1.el7                   base-openlogic   
libuuid.x86_64                  2.23.2-65.el7_9.1              updates-openlogic
libwbclient.x86_64              4.10.16-25.el7_9               updates-openlogic
libxml2.x86_64                  2.9.1-6.el7_9.6                updates-openlogic
libxml2-python.x86_64           2.9.1-6.el7_9.6                updates-openlogic
linux-firmware.noarch           20200421-82.git78c0348.el7_9   updates-openlogic
lm_sensors-libs.x86_64          3.4.0-8.20160601gitf9185e5.el7_9.1
                                                               updates-openlogic
logrotate.x86_64                3.8.6-19.el7                   base-openlogic   
lshw.x86_64                     B.02.18-17.el7                 base-openlogic   
lvm2.x86_64                     7:2.02.187-6.el7_9.5           updates-openlogic
lvm2-libs.x86_64                7:2.02.187-6.el7_9.5           updates-openlogic
lz4.x86_64                      1.8.3-1.el7                    base-openlogic   
man-pages-overrides.x86_64      7.9.0-1.el7                    base-openlogic   
mariadb-libs.x86_64             1:5.5.68-1.el7                 base-openlogic   
mdadm.x86_64                    4.1-9.el7_9                    updates-openlogic
microcode_ctl.x86_64            2:2.1-73.20.el7_9              updates-openlogic
mokutil.x86_64                  15-8.el7                       base-openlogic   
nspr.x86_64                     4.35.0-1.el7_9                 updates-openlogic
nss.x86_64                      3.90.0-2.el7_9                 updates-openlogic
nss-pem.x86_64                  1.0.3-7.el7_9.1                updates-openlogic
nss-softokn.x86_64              3.90.0-6.el7_9                 updates-openlogic
nss-softokn-freebl.x86_64       3.90.0-6.el7_9                 updates-openlogic
nss-sysinit.x86_64              3.90.0-2.el7_9                 updates-openlogic
nss-tools.x86_64                3.90.0-2.el7_9                 updates-openlogic
nss-util.x86_64                 3.90.0-1.el7_9                 updates-openlogic
ntpdate.x86_64                  4.2.6p5-29.el7.centos.2        base-openlogic   
ntsysv.x86_64                   1.7.6-1.el7                    base-openlogic   
numactl-libs.x86_64             2.0.12-5.el7                   base-openlogic   
openldap.x86_64                 2.4.44-25.el7_9                updates-openlogic
openssh.x86_64                  7.4p1-23.el7_9                 updates-openlogic
openssh-clients.x86_64          7.4p1-23.el7_9                 updates-openlogic
openssh-server.x86_64           7.4p1-23.el7_9                 updates-openlogic
openssl.x86_64                  1:1.0.2k-26.el7_9              updates-openlogic
openssl-libs.x86_64             1:1.0.2k-26.el7_9              updates-openlogic
pam.x86_64                      1.1.8-23.el7                   base-openlogic   
parted.x86_64                   3.1-32.el7                     base-openlogic   
passwd.x86_64                   0.79-6.el7                     base-openlogic   
perl.x86_64                     4:5.16.3-299.el7_9             updates-openlogic
perl-Pod-Escapes.noarch         1:1.04-299.el7_9               updates-openlogic
perl-Socket.x86_64              2.010-5.el7                    base-openlogic   
perl-libs.x86_64                4:5.16.3-299.el7_9             updates-openlogic
perl-macros.x86_64              4:5.16.3-299.el7_9             updates-openlogic
plymouth.x86_64                 0.8.9-0.34.20140113.el7.centos base-openlogic   
plymouth-core-libs.x86_64       0.8.9-0.34.20140113.el7.centos base-openlogic   
plymouth-scripts.x86_64         0.8.9-0.34.20140113.el7.centos base-openlogic   
policycoreutils.x86_64          2.5-34.el7                     base-openlogic   
policycoreutils-python.x86_64   2.5-34.el7                     base-openlogic   
polkit.x86_64                   0.112-26.el7_9.1               updates-openlogic
postfix.x86_64                  2:2.10.1-9.el7                 base-openlogic   
procps-ng.x86_64                3.3.10-28.el7                  base-openlogic   
psmisc.x86_64                   22.20-17.el7                   base-openlogic   
python.x86_64                   2.7.5-94.el7_9                 updates-openlogic
python-firewall.noarch          0.6.3-13.el7_9                 updates-openlogic
python-libs.x86_64              2.7.5-94.el7_9                 updates-openlogic
python-perf.x86_64              3.10.0-1160.118.1.el7          updates-openlogic
python-requests.noarch          2.6.0-10.el7                   base-openlogic   
python-urlgrabber.noarch        3.10-10.el7                    base-openlogic   
rng-tools.x86_64                6.3.1-5.el7                    base-openlogic   
rpcbind.x86_64                  0.2.0-49.el7                   base-openlogic   
rpm.x86_64                      4.11.3-48.el7_9                updates-openlogic
rpm-build-libs.x86_64           4.11.3-48.el7_9                updates-openlogic
